MSA name,METFIPS,County name,COUNTY,State name,STATEFIP,City name,INDIVIDCC
"Atlanta-Sandy Springs-Marietta, GA",12060,,,,,Atlanta,1
"Buffalo-Niagara Falls, NY",15380,,,,,Buffalo,1
"Charlotte-Gastonia-Concord, NC",16740,,,,,Charlotte,1
"Chicago-Naperville-Joliete, IL",16980,,,,,Chicago,1
"Chicago-Naperville-Joliete, IL",16980,,,,,Naperville,2
"Chicago-Naperville-Joliete, IL",16980,,,,,Joliet,3
"Dallas-Fort Worth-Arlington, TX",19100,,,,,Dallas,1
"Dallas-Fort Worth-Arlington, TX",19100,,,,,Fort Worth,2
"Dallas-Fort Worth-Arlington, TX",19100,,,,,Carrollton,3
"Dallas-Fort Worth-Arlington, TX",19100,,,,,Plano,4
"Dallas-Fort Worth-Arlington, TX",19100,,,,,Irving,5
"Dallas-Fort Worth-Arlington, TX",19100,,,,,Arlington,6
"Denver-Aurora, CO",19740,,,,,Denver,1
"Detroit-Warren-Livonia, MI",19820,Wayne,26163,,,Detroit,1
"Detroit-Warren-Livonia, MI",19820,Wayne,26163,,,Livonia,2
"Detroit-Warren-Livonia, MI",19820,Macomb,26099,,,Warren,1
"Houston-Baytown-Sugar Land, TX",26420,,,,,Houston,1
"Kansas City, MO-KS",28140,,,Kansas,20,Kansas City,1
"Kansas City, MO-KS",28140,,,Kansas,20,Overland Park,2
"Las Vegas-Paradise, NV",29820,,,,,Las Vegas,1
"Las Vegas-Paradise, NV",29820,,,,,Paradise,2
"Los Angeles-Long Beach-Santa Ana, CA",31100,Los Angeles,6037,,,Los Angeles,1
"Los Angeles-Long Beach-Santa Ana, CA",31100,Los Angeles,6037,,,Long Beach,2
"Los Angeles-Long Beach-Santa Ana, CA",31100,Los Angeles,6037,,,Glendale,3
"Los Angeles-Long Beach-Santa Ana, CA",31100,Los Angeles,6037,,,Pomona,4
"Los Angeles-Long Beach-Santa Ana, CA",31100,Los Angeles,6037,,,Torrance,5
"Los Angeles-Long Beach-Santa Ana, CA",31100,Los Angeles,6037,,,Pasadena,6
"Los Angeles-Long Beach-Santa Ana, CA",31100,Los Angeles,6037,,,Burbank,7
"Los Angeles-Long Beach-Santa Ana, CA",31100,Orange,6059,,,Santa Ana,1
"Los Angeles-Long Beach-Santa Ana, CA",31100,Orange,6059,,,Anaheim,2
"Los Angeles-Long Beach-Santa Ana, CA",31100,Orange,6059,,,Irvine,3
"Los Angeles-Long Beach-Santa Ana, CA",31100,Orange,6059,,,Orange,4
"Los Angeles-Long Beach-Santa Ana, CA",31100,Orange,6059,,,Fullerton,5
"Los Angeles-Long Beach-Santa Ana, CA",31100,Orange,6059,,,Costa Mesa,6
"McAllen-Edinburg-Pharr, TX",32580,,,,,McAllen,1
"Miami-Fort Lauderdale-Miami Beach, FL",33100,Broward,12011,,,Fort Lauderdale,1
"Miami-Fort Lauderdale-Miami Beach, FL",33100,Miami-Dade,12086,,,Miami,1
"Milwaukee-Waukesha-West Allis, WI",33340,,,,,Milwaukee,1
Minneapolis-St. Paul-Bloomington,33460,,,,,Minneapolis,1
"New Orleans-Metairie-Kenner, LA",35380,,,,,New Orleans,1
"New York-Northern New Jersey-Long Island, NY-NJ-PA",35620,,,New Jersey,34,Newark,1
"Oxnard-Thousand Oaks-Ventura, CA",37100,,,,,Oxnard,1
"Oxnard-Thousand Oaks-Ventura, CA",37100,,,,,Thousand Oaks,2
"Phoenix-Mesa-Scottsdale, AZ",38060,,,,,Phoenix,1
"Phoenix-Mesa-Scottsdale, AZ",38060,,,,,Mesa,2
"Phoenix-Mesa-Scottsdale, AZ",38060,,,,,Scottsdale,3
"Phoenix-Mesa-Scottsdale, AZ",38060,,,,,Tempe,4
"Riverside-San Bernardino-Ontario, CA",40140,,,,,Riverside,1
"Riverside-San Bernardino-Ontario, CA",40140,,,,,San Bernardino,2
"Riverside-San Bernardino-Ontario, CA",40140,,,,,Ontario,3
"Sacramento-Arden Arcade-Roseville, CA",40900,,,,,Sacramento,1
"San Diego-Carlsbad-San Marcos, CA",41740,,,,,San Diego,1
