geoid,name,STATEFIP,observations,employment,members,covered
"0427820",Glendale city,"4","475",58350.5045791666,2635.92160416667,4265.82628
"0446000",Mesa,"4","908",108749.616859167,4205.52581083333,5266.00388
"0455000",Phoenix,"4","2908",357433.727839999,15983.906665,18419.6585991667
"0465000",Scottsdale,"4","419",50981.4867616667,1420.92176916667,1847.8182675
"0473000",Tempe,"4","349",42650.662255,2225.29316666667,2653.3695875
"0541000",Little Rock,"5","870",41945.0074791667,1707.10654666667,2123.68866916667
"0602000",Anaheim,"6","481",60027.0876841667,9009.4988975,9633.16328166667
"0606000",Berkeley,"6","195",24162.7493383333,5288.39998666667,5787.39031166667
"0608954",Burbank,"6","237",27993.8883575,6481.41679416667,6710.00087833333
"0611194",Carlsbad,"6","157",19357.6246116667,2644.3094025,4141.22618333333
"0616532",Costa Mesa,"6","204",25200.4038933333,3323.95092166667,3448.345385
"0623182",Fairfield,"6","171",21916.0025408333,3037.60719583333,3146.72198166667
"0626000",Fremont city,"6","515",64228.0993941667,5933.29709416667,6148.66067333333
"0628000",Fullerton city,"6","310",37634.7993066667,3826.54237666667,4385.0582825
"0630000",Glendale,"6","393",44630.02152,4612.97975166667,4743.8614075
"0633000",Hayward,"6","301",41609.4908841666,6971.70877666667,7068.76776833333
"0636770",Irvine,"6","421",50304.2136708334,3492.33573583333,3711.770195
"0643000",Long Beach,"6","723",88490.2641016667,9677.45888416667,10676.1010208333
"0644000",Los Angeles,"6","6693",813002.696788336,103938.582661667,112798.55235
"0653000",Oakland,"6","780",103500.400956667,19839.1782533333,21683.3401
"0653896",Ontario,"6","287",38670.91748,11214.11113,12059.4215675
"0653980",Orange,"6","234",28475.5881366667,3654.91064916667,4038.7638875
"0654652",Oxnard,"6","263",34399.79767,5055.35916333333,5533.25085833333
"0656000",Pasadena,"6","267",31798.5215616667,3368.20505666667,3368.20505666667
"0658072",Pomona city,"6","253",30907.1883916667,3673.34880166667,3941.0633275
"0662000",Riverside,"6","532",69528.6217391667,12664.87397,14196.1367625
"0662938",Roseville,"6","268",33904.6318166666,7787.38631666667,8416.7206725
"0664000",Sacramento,"6","751",97349.4395375001,19238.6112733333,21056.5682508333
"0665000",San Bernardino,"6","293",38289.4213358333,9711.687555,10691.9532966667
"0666000",San Diego,"6","2445",307928.1960725,26241.9015483333,30666.7843775
"0667000",San Francisco,"6","1692",214945.469659166,20985.8863241667,22537.6055291667
"0668000",San Jose,"6","1744",227068.263731666,26112.7523191667,28084.0992258333
"0669000",Santa Ana,"6","621",79332.9965691667,8677.84483083334,9337.55038000001
"0669084",Santa Clara,"6","359",45731.7286325,4419.91374833333,4628.2148625
"0677000",Sunnyvale,"6","371",47435.2050908333,3194.09371916667,3736.40195666667
"0678120",Temecula,"6","195",24155.8451808333,4196.09921166667,4749.77900666667
"0678582",Thousand Oaks,"6","277",33838.3124925,3153.2543,3858.41998166667
"0680000",Torrance,"6","211",24779.763325,3489.75362083333,3585.19791583333
"0681666",Vallejo,"6","161",21664.6657275,5478.1224675,5575.17031333333
"0682590",Victorville,"6","132",17214.0160325,4763.50122916667,5119.13193416667
"0820000",Denver,"8","1477",189219.110678334,12607.7770366667,14670.3915383333
