"METFIPS","STATEFIP","COUNTY","INDIVIDCC","City name","city_fips"
"19100","48","48439","6","Arlington","4804000"
"47900","51","51013","1","Arlington","5103000"
"12060","13","0","1","Atlanta","1304000"
"12580","24","24510","1","Baltimore","2404000"
"42660","53","53033","3","Bellevue","5305210"
"41860","6","6001","4","Berkeley","0606000"
"14460","25","25025","1","Boston","2507000"
"14860","9","9001","1","Bridgeport","0908000"
"15380","36","0","1","Buffalo","3611000"
"14460","25","25017","2","Cambridge","2511000"
"41740","6","6073","2","Carlsbad","0611194"
"19100","48","0","3","Carrollton","4813024"
"16740","37","37119","1","Charlotte","3712000"
"16980","17","0","1","Chicago","1714000"
"19100","48","0","1","Dallas","4819000"
"19740","8","8031","1","Denver","0820000"
"19820","26","26163","1","Detroit","2622000"
"16980","17","0","4","Elgin","1723074"
"46700","6","6095","2","Fairfield","0623182"
"33100","12","12011","1","Fort Lauderdale","1224000"
"19100","48","0","2","Fort Worth","4827000"
"41860","6","6001","2","Fremont","0626000"
"38060","4","4013","5","Glendale","0427820"
"25540","9","0","1","Hartford","0937000"
"41860","6","6001","3","Hayward","0633000"
"29820","32","32003","3","Henderson","3231900"
"26420","48","0","1","Houston","4835000"
"26900","18","0","1","Indianapolis","1836003"
"19100","48","0","5","Irving","4837000"
"16980","17","0","3","Joliet","1738570"
"28140","20","0","1","Kansas City","2036000"
"28140","20","0","1","Kansas City","2938000"
"28140","29","0","1","Kansas City","2938000"
"19740","8","8059","2","Lakewood","0843000"
"29820","32","32003","1","Las Vegas","3240000"
"30780","5","0","1","Little Rock","0541000"
"32580","48","48215","1","McAllen","4845384"
"38060","4","4013","2","Mesa","0446000"
"33100","12","12086","1","Miami","1245000"
"33340","55","0","1","Milwaukee","5553000"
"33460","27","0","1","Minneapolis","2743000"
"16980","17","0","2","Naperville","1751622"
"35380","22","22071","1","New Orleans","2255000"
"35620","34","34013","1","Newark","3451000"
"47260","51","51700","3","Newport News","5156000"
"47260","51","51710","2","Norfolk","5157000"
"41860","6","6001","1","Oakland","0653000"
"40140","6","0","3","Ontario","0653896"
"28140","20","20091","2","Overland Park","2053775"
"37100","6","6111","1","Oxnard","0654652"
"29820","32","32003","2","Paradise","3254600"
"38060","4","4013","1","Phoenix","0455000"
"19100","48","0","4","Plano","4858016"
"40140","6","0","1","Riverside","0662000"
"40900","6","6061","2","Roseville","0662938"
"40900","6","6067","1","Sacramento","0664000"
"40140","6","0","2","San Bernardino","0665000"
"41740","6","6073","1","San Diego","0666000"
"41860","6","6075","1","San Francisco","0667000"
"41940","6","0","1","San Jose","0668000"
"41940","6","0","3","Santa Clara","0669084"
"38060","4","4013","3","Scottsdale","0465000"
"42660","53","53033","1","Seattle","5363000"
"45300","12","12103","1","St. Petersburg","1263000"
"14860","9","9001","2","Stamford","0973000"
"41940","6","0","2","Sunnyvale","0677000"
"42660","53","0","2","Tacoma","5370000"
"40140","6","0","4","Temecula","0678120"
"38060","4","4013","4","Tempe","0473000"
"37100","6","6111","2","Thousand Oaks","0678582"
"46700","6","6095","1","Vallejo","0681666"
"40140","6","0","5","Victorville","0682590"
"47260","51","51810","1","Virginia Beach","5182000"
"19820","26","26099","1","Warren","2684000"
"31080","6","6037","1","Los Angeles","0644000"
"31080","6","6037","2","Long Beach","0643000"
"31080","6","6037","3","Glendale","0630000"
"31080","6","6037","4","Pomona","0658072"
"31080","6","6037","5","Torrance","0680000"
"31080","6","6037","6","Pasadena","0656000"
"31080","6","6037","7","Burbank","0608954"
"31080","6","6059","1","Santa Ana","0669000"
"31080","6","6059","2","Anaheim","0602000"
"31080","6","6059","3","Irvine","0636770"
"31080","6","6059","4","Orange","0653980"
"31080","6","6059","5","Fullerton","0628000"
"31080","6","6059","6","Costa Mesa","0616532"
"33460","27","27123","2","St. Paul","2758000"
"34980","47","0","1","Nashville","4752006"
"35380","22","22051","2","Metairie","2250115"
"35620","34","34017","2","Jersey City","3436000"
"35620","36","36005","1","New York","3651000"
"35620","36","36047","1","New York","3651000"
"35620","36","36061","1","New York","3651000"
"35620","36","36081","1","New York","3651000"
"35620","36","36085","1","New York","3651000"
"36740","12","12095","1","Orlando","1253000"
"37340","12","12009","1","Orlando","1253000"
"38900","41","0","1","Portland","4159000"
"39300","44","0","1","Providence","4459000"
"42660","53","53061","4","Everett","5322640"
"45300","12","12057","2","Tampa","1271000"
"47900","11","11001","1","Washington","1150000"
