STATEFIP,COUNTY,observations,employment,members,covered
01,00000,19294,1455166.25150084,139425.553555,152991.6646275
01,01003,1837,143410.791576666,12210.6616325,13279.3217083333
01,01015,522,64775.6514791666,4320.93672833333,5595.12285916666
01,01073,1434,154567.973594167,18027.2744241667,19807.8045558333
01,01081,995,66212.5181725,4386.09479583333,4950.54107416667
01,01097,2029,160284.379095,13553.6981766667,14986.84528
01,01117,241,24968.16075,295.984855833333,538.567873333333
02,00000,21552,327970.758013335,66494.6388825,71777.1924441665
04,00000,1570,187423.172195833,11768.7270083333,17237.5659691667
04,04003,310,40538.1682158333,2250.857755,2650.87480083333
04,04013,15557,1915208.93036833,95856.6399975001,116790.799215833
04,04015,196,24959.6784166667,1221.5135625,1863.96020833333
04,04019,3767,470856.268553332,25669.3704483333,31983.8057016666
04,04021,1168,143890.144739166,7347.57621416666,9920.4279325
04,04025,762,90934.3540991666,4434.68292416667,5564.43621666667
04,04027,672,82596.0557425,6513.94740333333,7519.2703775
05,00000,23238,1187585.91249917,51913.5829216667,62907.7202200001
05,05119,1102,74183.9696833333,3762.68676166667,4255.6260725
06,00000,24730,2959304.13846666,493737.803326667,531165.0906025
06,06001,7016,839233.465168331,139406.708615833,147271.687126667
06,06007,904,102317.608945,20837.142165,22588.5938825
06,06017,580,65083.5375716667,13069.4990541667,15155.18763
06,06019,3359,392820.327789999,62366.3498833333,67110.9338133333
06,06025,393,42924.2899875,11275.0593125,11854.560875
06,06029,2707,314603.8625625,57247.524655,60637.6768475
06,06031,668,81977.866675,14750.6553691667,15527.2367383333
06,06037,38905,4360124.2869392,652833.969808333,702059.874734166
06,06039,438,46116.6000058334,7048.46301166667,7385.80743583333
06,06047,480,50626.7904666667,13167.9337391667,14416.0126675
06,06053,1548,177247.49767,23356.4572475,25795.8880775
06,06055,400,43876.54344,8079.90979416667,8808.8337525
06,06059,13084,1485427.52784834,171260.208465,184438.222496667
06,06061,1469,165326.882981667,31087.4414125,33908.5505066667
06,06065,3334,365389.6301675,62737.5533308333,66167.5419641666
06,06067,5699,665048.611615,139797.0922725,156152.371771667
06,06071,3106,344401.991481666,94744.28148,101417.346599167
06,06073,12152,1397585.82031418,177836.259115,197191.699635
06,06075,3895,465763.886545001,54155.337635,57857.9794541667
06,06077,2644,315733.3594375,69028.807275,72826.7814325
06,06079,815,91308.1711441665,24951.8169883333,25488.8196058333
06,06081,3214,373703.992159168,58341.2760616667,60932.7518283334
06,06083,1657,192813.86543,19559.4262325,21213.0025883333
06,06087,1137,130619.490525833,27513.6630125,28494.5876741666
06,06089,579,68231.7658449999,10668.0844825,11207.4972608333
06,06095,1604,190907.3927425,47822.8966958333,50113.9633066667
06,06097,1767,203901.254325,39993.57053,41661.6346491667
06,06099,2077,240638.76555,56128.7962133333,63326.9341858333
06,06107,1410,164726.829923334,25095.9866816667,27209.5294325
06,06111,3234,369568.412450833,59246.9868466667,64619.0096125001
06,06113,796,90883.2535149999,18615.5029016667,20402.135945
08,00000,15643,1358914.18952,141553.521156667,156023.401715834
08,08013,2175,182317.555543333,8100.63875166667,9433.497495
08,08014,5,529.558766666667,0,0
08,08031,4277,366839.434789168,25381.0444341666,29207.3285308333
08,08035,1195,70655.9386158334,9403.406785,10780.277005
08,08059,3393,277801.7947275,19437.6960233333,24168.525375
08,08069,1952,157116.3138125,6955.15478,8422.629765
08,08101,733,42427.0514341666,4580.22083083333,5134.36695
08,08123,1692,140926.472588333,9904.72961666666,10916.7833575
09,00000,23862,1187393.31552167,187195.949520001,198806.364850834
09,09001,2531,248670.670643333,32283.3206266667,33987.8103508333
09,09005,550,51303.22306,7992.9224575,8637.88403333333
09,09009,2348,223726.24583,41951.7029041667,44129.9169108334
09,09015,323,29837.4462433333,7037.30331916667,7123.65813416667
10,10001,4283,82234.8486441666,8490.69604583334,9400.4886
10,10003,14666,270728.765631667,28795.0219608333,31574.1099541667
10,10005,4702,86844.3517399996,7716.3610775,8477.622735
11,11001,30839,359357.71849167,33180.9432475,38607.5180191668
12,00000,14920,1868253.76492834,130814.2826225,154268.232805
12,12001,416,50098.2229225,2029.93523083333,2479.532985
12,12005,954,117071.035988333,3616.09874583333,4789.161445
12,12009,2015,244211.232653333,14754.8371858333,17827.4001858333
12,12011,7075,905826.535740003,60366.3641141666,68248.5899466666
12,12015,243,29431.2282725,2416.77823916667,2810.55277916667
12,12019,701,88314.6187899999,6736.65896583333,8234.92194416667
12,12021,1016,126050.968075833,5094.20931083333,5863.1561725
12,12033,1033,131770.588875,8196.51800916666,11023.565575
12,12053,526,62912.6951291666,2438.67538416667,6082.6636375
12,12057,5083,644725.542559167,34411.2699591667,43209.6276
12,12061,365,44190.6271241666,2179.7888775,2179.7888775
12,12069,927,115918.993466667,5547.83466333333,6684.02457416667
12,12071,2206,272171.567630833,14775.7721008333,20218.8953983333
12,12083,877,108755.2666025,4484.094325,5206.3950425
12,12085,250,31534.1681091667,2852.87619583333,3508.43522916667
12,12086,9217,1192831.13085834,72574.4021866666,87810.9083116666
12,12091,470,58531.9426525,1252.59342083333,2332.51896166667
12,12095,5360,686844.350274997,40350.7870291667,49380.6995441667
12,12097,346,43069.6137841666,2988.70473916667,3755.14747833333
12,12099,5000,632928.064596668,35395.4483325,42964.6576091666
12,12101,1956,236152.965848333,10782.9271483333,24175.6197183333
12,12103,3712,452671.084545,15713.0928158333,19816.0967558333
12,12105,1919,236600.572948333,16733.257295,18368.0728183333
12,12109,964,116708.8292625,5534.27611416667,7361.52418916667
12,12111,562,74101.4045549999,4168.22345666667,4679.37114916667
12,12113,596,74715.8459508333,5393.30729083333,6981.61205166667
12,12117,481,57329.0329733333,2346.07912916667,2692.48305583333
12,12127,791,95690.2328416667,6203.04709916667,7049.72258166667
13,00000,28316,3340316.90720665,141008.821690833,173700.098445
13,13015,224,27009.9924433333,877.247241666667,1357.27265083333
13,13045,195,25070.9549766667,1021.40279666667,1021.40279666667
13,13057,1240,145077.8610925,4889.19453166667,7894.6108
13,13063,917,121987.518618333,7817.66888583333,8527.48442666667
13,13077,305,36184.5288425,2619.71283083333,2959.71816083333
13,13097,275,35040.802985,2317.52937333333,2629.49184916667
13,13113,211,26057.8475733333,1971.23822666667,1971.23822666667
13,13117,471,56529.98709,1723.00100333333,2552.6377325
13,13135,3823,467822.0863725,14315.8851091667,19388.108365
13,13139,554,67866.2879191667,1784.84885666667,2015.92762666667
13,13151,679,86819.4799233334,7627.08657166667,9239.4152625
13,13153,316,35387.2119541667,2542.57902833333,4069.47418333333
13,13223,353,42310.2651016667,2307.32501333333,2847.0045275
15,00000,5518,130516.584540833,29592.9346266667,31913.92716
15,15001,1440,30808.4612116667,7784.99411,8153.4801125
15,15003,19651,455049.272106669,97142.9792233333,103368.85024
16,00000,23161,710820.124583339,38438.4935391666,45619.1681808333
16,16055,733,26212.3548766667,1558.5323975,1707.71193833333
17,00000,46134,5212213.97717416,777677.978490002,822889.204051669
17,17091,462,48608.589575,12576.5853333333,13049.6021816667
17,17097,1691,199262.493925,16499.433275,18030.4415166667
17,17099,573,59458.1534341667,10274.2398491667,10566.0287208333
17,17111,1303,145091.3955125,20073.5838033333,21116.9107266667
17,17113,495,53015.1078866666,4094.59459583333,4612.65348666667
17,17115,488,50257.5655983334,9789.71097416666,10084.451085
17,17119,1002,112246.6524875,21184.5503575,22479.81137
17,17163,1087,119115.611946667,19861.6886641667,22051.8015875
17,17179,427,44977.1944875,6118.557035,6307.64551333333
18,00000,21435,2304018.32286167,209924.666209167,234154.881865
18,18019,265,29246.8307033333,2291.52429083333,3210.18335916667
18,18039,770,82494.6666633334,4119.9819025,4946.1463725
18,18057,591,60897.696315,3033.93579583333,4008.99020916667
18,18063,801,84026.4353900001,5123.51101916667,5260.46097333333
18,18081,724,78017.45532,4521.7638075,5446.470585
18,18089,1992,217620.415945,47711.7595691667,50652.01985
18,18091,417,45145.40426,6241.12844333333,6997.41098583333
18,18095,363,37715.3470183333,3642.40903333333,3752.8113075
18,18105,356,38876.8250075,2017.723395,2200.11578916667
18,18141,1180,128024.180426667,8941.70556666667,10559.8359291667
19,00000,20895,1163882.05265833,101412.14277,121048.930985833
19,19103,1841,101423.386985,11031.5687375,16672.5782375
19,19113,2084,112506.312615833,11172.3072766667,13205.20358
19,19153,2798,116250.765725,10201.1826666667,12319.8673166667
19,19163,1612,87976.8955250002,9023.44245666667,10469.2736683333
20,00000,17031,928194.271562504,76942.6730300001,95543.6304141669
20,20045,919,46501.6560475,4150.56584916666,4796.1827575
20,20091,2854,176645.983865833,7486.5766275,9470.03568083333
20,20173,4202,243995.627150833,20371.2232066666,26781.1137483333
21,00000,14498,1178961.28394583,100438.498399167,116305.281993333
21,21015,457,43223.3633025,3947.486715,5181.24183583333
21,21067,2120,185366.448724167,9376.29320916667,11601.0018958333
21,21111,4392,401555.002314167,56199.5931183333,62353.0486333333
21,21117,1121,93123.4225516666,13421.8659433333,22781.592525
22,00000,16196,1125488.27347416,52913.0577366667,61418.4030091667
22,22005,608,34112.8854575,3599.81569833333,4230.43732833334
22,22019,436,48401.1850958333,3813.5313825,4509.99314166667
22,22033,2728,196579.543741667,9551.82912083333,10696.6157008333
22,22051,2789,206755.946128333,10430.6543441667,13229.1055508333
22,22063,691,37285.2258308334,1316.03151583333,1562.12863166667
22,22071,1916,143681.217644167,7529.50414083334,10149.5772866667
22,22073,850,44404.0720441666,1843.82968416667,2091.40969916667
22,22103,1489,105675.345146667,6283.16080166667,8412.56474666666
23,00000,16815,403394.313972502,45161.171565,52365.5375808333
23,23001,686,31263.1347275,3768.16168583333,4298.89368916667
23,23005,2015,87300.7995600001,11146.1325558333,12311.7542116667
23,23011,2126,61586.3963233333,9256.08258333333,12127.8522133333
23,23019,864,37405.7043008333,4103.91297666667,4857.88482916667
24,00000,16801,1332740.42241083,146221.888283333,162429.82815
24,24003,3462,296951.602496666,27999.5167125,31014.1422008333
24,24013,1147,89801.2003875001,7783.94059916667,9356.85633416667
24,24015,242,28536.677165,3283.632255,3805.56290083333
24,24017,902,77869.8951033333,13139.1806291667,14335.8801016667
24,24025,1517,128990.323641667,10971.4133608333,12138.407135
24,24027,1677,98338.0149816666,10954.5068,12719.7995408333
24,24031,2354,302612.195063333,28905.66341,32286.0126641667
24,24033,4975,453818.281055832,67751.6718541666,77181.2915266666
24,24043,477,28800.6970933333,3204.15918583333,3628.30067833333
24,24510,959,136543.33421,18975.4867858333,20339.4647783333
25,00000,13964,1536026.68075167,221752.9332725,239832.503663333
25,25001,435,37598.77587,6186.590885,6337.883935
25,25005,1668,147440.678784167,23444.413925,25851.8753775
25,25009,2307,205691.07901,23655.0890433333,25937.9082308333
25,25013,1257,112637.222655833,18594.7796191667,19518.387185
25,25015,477,41480.6241016667,7524.00085083333,8251.54444083333
25,25017,5468,499256.552864166,47919.1792425,51232.5829033333
25,25021,2327,205973.730510833,27505.5452516667,29755.5526583333
25,25023,1614,145746.700874167,18615.8763341667,20144.439255
25,25025,2222,224963.51475,23942.31657,26251.3077966667
25,25027,2606,233721.11079,28813.6901558333,30754.9958908333
26,00000,11504,1251034.83767833,207641.617829167,221896.1574325
26,26005,778,86888.6718266666,7104.39503416667,7457.16042166667
