geoid,name,observations,employment,members,covered
"10180","Abilene, TX","422",53895.6905633333,475.269634166667,1113.66195916667
"10420","Akron, OH","1270",154635.760804167,20175.3411975,21090.4875525
"10580","Albany-Schenectady-Troy, NY","1461",182667.866783333,59207.9636816667,64464.4195591667
"10740","Albuquerque, NM","6002",190082.191158332,14924.4654716667,17931.3682575
"10900","Allentown-Bethlehem-Easton, PA-NJ","1344",165915.837936667,17027.43384,17781.5130225
"11100","Amarillo, TX","551",69062.6906233333,5838.93241,6332.88954583333
"11460","Ann Arbor, MI","681",80174.1577183334,8639.3944225,9476.01343
"11540","Appleton, WI","569",66107.3085033334,6192.89085,6943.09090583333
"11700","Asheville, NC","779",92154.221675,2127.789725,2567.95635166667
"12020","Athens-Clarke County, GA","349",43092.4551858334,1411.64787833333,1980.14151833333
"12060","Atlanta-Sandy Springs-Roswell, GA","10398",1334144.12886999,57619.0493233332,74343.0683725
"12100","Atlantic City-Hammonton, NJ","505",60319.919775,12279.93361,12279.93361
"12220","Auburn-Opelika, AL","781",51904.8002066667,2940.88403583333,3400.00997833333
"12260","Augusta-Richmond County, GA-SC","990",106388.89192,7309.40242,10539.92736
"12420","Austin-Round Rock, TX","3730",488758.876364166,13478.0646908333,17167.4542133333
"12540","Bakersfield, CA","1181",147946.188925833,28755.4308616667,30107.1100483333
"12580","Baltimore-Columbia-Towson, MD","5069",664745.410960831,73226.8291958334,79007.8694075
"12620","Bangor, ME","731",32362.6169058333,3519.64517,4200.92604583333
"12700","Barnstable Town, MA","372",32256.8589475,5233.7350025,5385.0280525
"12940","Baton Rouge, LA","3137",180537.1104075,8143.097125,9784.0842125
"12980","Battle Creek, MI","479",56409.6080933333,7932.356195,8641.30435416667
"13140","Beaumont-Port Arthur, TX","604",77861.1280283334,4153.45968333333,4479.5045275
"13460","Bend-Redmond, OR","855",62708.9862025,5799.77664,6076.08004083333
"13740","Billings, MT","2477",38567.5146491667,4258.40932,5116.42273333333
"13780","Binghamton, NY","858",104475.27012,19180.8461266667,19689.8340033333
"13820","Birmingham-Hoover, AL","3710",241819.869906668,26512.3702166667,28422.4447566667
"13980","Blacksburg-Christiansburg-Radford, VA","288",35914.70388,1477.8551925,1821.49987166667
"14010","Bloomington, IL","451",51828.9099941667,6129.432415,6227.21182416667
"14020","Bloomington, IN","294",32064.27784,1860.04453083333,1956.79063416667
"14260","Boise City, ID","5488",155715.499638333,6313.329495,7367.39193916666
"14460","Boston-Cambridge-Newton, MA-NH","15884",1198648.66350916,133133.228453333,145114.771805833
"14500","Boulder, CO","669",86806.6940075001,3830.4615975,4127.9654175
"14540","Bowling Green, KY","402",39300.8890533333,2322.92529,2796.57311666667
"14860","Bridgeport-Stamford-Norwalk, CT","2149",214410.599354166,27063.8927966667,28681.918265
"15180","Brownsville-Harlingen, TX","460",61291.0508491666,3653.11543083333,4514.63156
"15380","Buffalo-Cheektowaga-Niagara Falls, NY","1957",248473.022395833,48414.1817108333,51228.3170608333
"15500","Burlington, NC","705",90389.5459833333,2607.64520416667,3028.0494825
"15540","Burlington-South Burlington, VT","4226",55065.3360333333,6548.64907833333,7155.86052583333
"15680","California-Lexington Park, MD","389",48450.6687675,8300.89906666667,8784.22371
"15940","Canton-Massillon, OH","762",91281.1294966666,12446.7831066667,14302.7664858333
"15980","Cape Coral-Fort Myers, FL","978",122259.789268333,4747.61829416667,6368.89670083333
"16060","Carbondale-Marion, IL","273",31516.166465,5491.83957416667,6057.92511916667
"16300","Cedar Rapids, IA","693",51140.3820991667,4512.71120916667,5236.65387916667
"16540","Chambersburg-Waynesboro, PA","486",59297.9290883333,7748.75144916666,9209.18732583333
"16580","Champaign-Urbana, IL","418",48862.4178291667,6554.08033916667,7050.19021083333
"16620","Charleston, WV","1651",38255.4337108333,3692.16561083333,3975.4148525
"16700","Charleston-North Charleston, SC","1913",165803.5738,2833.94830666667,4514.09553333333
"16740","Charlotte-Concord-Gastonia, NC-SC","5008",578016.776229999,22149.17847,27118.855635
"16820","Charlottesville, VA","566",70637.0210225,1429.621355,1761.49875333333
"16860","Chattanooga, TN-GA","1197",120012.57704,6055.91722666667,6942.3899125
"16980","Chicago-Naperville-Elgin, IL-IN-WI","17190",2139281.14039083,291205.388931666,309560.206766666
"17020","Chico, CA","447",53374.8552758333,11632.6339166667,12304.6161833333
"17140","Cincinnati, OH-KY-IN","4001",475600.262175834,50648.6761641666,65848.2627025
"17300","Clarksville, TN-KY","784",78326.7731033334,4104.16376166667,4774.530005
"17420","Cleveland, TN","458",42324.1964774999,1744.12175166667,1964.26969333333
"17460","Cleveland-Elyria, OH","3604",472099.194664167,63341.91021,71098.1909300001
"17660","Coeur d'Alene, ID","1179",32527.9355541666,1566.832505,1800.45337916667
"17780","College Station-Bryan, TX","397",53680.5012566667,1790.00898083333,2092.33189583333
"17820","Colorado Springs, CO","1117",141308.6484625,44489.3648475,45860.25073
"17900","Columbia, SC","2150",188846.5397925,6243.58816,7832.97437166667
